Учетн. номер дороги (новый),Учетн. номер дороги,Наименование автомобильной дороги (новое),Протяженность (км),Начало (км+…),Конец (км+…),Органы управления дорожным хозяйством, в оперативное управление которых переданы автомобильные дороги федерального значения,Телефоны оперативных дежурных служб,
-,-,Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск,-,2054+000,2165+000,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,,
"Р-298 Курск - Воронеж - автомобильная дорога Р-22 ""Каспий""",А-144,"Курск - Воронеж - автомобильная дорога Р-22 ""Каспий""",143,967,9+200,152+595,ФКУ Упрдор Москва - Харьков,(4862) 77-77-69,
-,-,"Курск - Воронеж - автомобильная дорога Р-22 ""Каспий""",66,226,152+500,218+500,"ФКУ ""Черноземуправтодор""",(473) 280-16-10,
-,-,"Курск - Воронеж - автомобильная дорога Р-22 ""Каспий""",181,302,262+000,444+200,"ФКУ ""Черноземуправтодор""",(473) 280-16-10,
Р-351 Екатеринбург - Тюмень,1Р 351,Екатеринбург - Тюмень,70,9,23+100,94+000,"ФКУ ""Уралуправтодор""",(343) 262-88-15,
-,-,Екатеринбург - Тюмень,38,3,97+700,136+000,"ФКУ ""Уралуправтодор""",(343) 262-88-15,
-,-,Екатеринбург - Тюмень,175,821,145+000,320+681,"ФКУ ""Уралуправтодор""",(343) 262-88-15,
Р-354 Екатеринбург - Шадринск - Курган,1Р 354,Екатеринбург - Шадринск - Курган,228,7,125+000,353+700,"ФКУ Упрдор ""Южный Урал""",(351) 266-65-63,
-,-,Екатеринбург - Шадринск - Курган,59,625,32+400,92+025,"ФКУ ""Уралуправтодор""",(343) 262-88-15,
-,-,Екатеринбург - Шадринск - Курган,18,421,107+000,125+421,"ФКУ ""Уралуправтодор""",(343) 262-88-15,
Р-402 Тюмень - Ялуторовск - Ишим - Омск,1Р 402,Тюмень - Ялуторовск - Ишим - Омск,365,523,10+630,375+850,"ФКУ ""Уралуправтодор""",(343) 262-88-15,
-,-,Тюмень - Ялуторовск - Ишим - Омск,235,337,375+805,611+142,"ФКУ ""Сибуправтодор""",(383) 262-62-72,
Р-404 Тюмень - Тобольск - Ханты-Мансийск ,-,Тюмень - Тобольск - Ханты-Мансийск,631,132,11+700,642+393,"ФКУ ""Уралуправтодор""",(343) 262-88-15,
-,-,Тюмень - Тобольск - Ханты-Мансийск,220,487,731+642,952+979,"ФКУ ""Уралуправтодор""",(343) 262-88-15,
-,-,Тюмень - Тобольск - Ханты-Мансийск,8,75,0+000,7+202,"ФКУ ""Уралуправтодор""",(343) 262-88-15,
-,-,Тюмень - Тобольск - Ханты-Мансийск,-,7+202,8+800,"ФКУ ""Уралуправтодор""",(343) 262-88-15,,
-,-,Тюмень - Тобольск - Ханты-Мансийск,15,632,22+855,38+295,"ФКУ ""Уралуправтодор""",(343) 262-88-15,
"Р-504 ""Колыма""Якутск - Магадан",-,Якутск - Магадан,1,4,5+000,18+400,"ФКУ Упрдор ""Колыма""",(41153) 24-1-34,
-,-,Якутск - Магадан,346,8,18+400,365+200,"ФКУ Упрдор ""Колыма""",(41153) 24-1-34,
-,-,Якутск - Магадан,779,26,372+000,1151+026,"ФКУ Упрдор ""Колыма""",(41153) 24-1-34,
-,-,Якутск - Магадан,834,1187+000,2021+000,"ФКУ Упрдор ""Колыма""",(41153) 24-1-34,,
Р-600 Кострома - Иваново,А-113,Кострома - Иваново,91,55,72+850,164+400,ФКУ Упрдор Москва - Н.Новгород, (496) 515-32-08; 515-94-92,
-,-,Кострома - Иваново,16,758,2+754,19+512,ФКУ Упрдор Москва - Н.Новгород, (496) 515-32-08; 515-94-92,
"А-103 ""Щелковское шоссе"" Москва - Щелково - а/д А-107 ""Московское малое кольцо""",А-103,"Москва - Щелково – а/д А-107 ""Московское малое кольцо""",38,557,15+983,54+540,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,"Москва - Щелково – а/д А-107 ""Московское малое кольцо""",1,583,0+000,1+583,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,"Москва - Щелково – а/д А-107 ""Московское малое кольцо""",4,7,0+000,4+700,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
А-104 Москва - Дмитров - Дубна,А-104,Москва - Дмитров - Дубна,99,94,23+235,124+698,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
А-105 Подъездная дорога от Москвы к аэропорту Домодедово,-,"Подъездная дорога от Москвы к аэропорту ""Домодедово""",22,65,22+100,44+750,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
